id,season_year,driver_id,constructor_id,position,points,wins
363,2016,button,mclaren,15,21.0,0
364,2016,kevin_magnussen,renault,16,7.0,0
365,2016,nasr,sauber,17,2.0,0
366,2016,jolyon_palmer,renault,18,1.0,0
367,2016,wehrlein,manor,19,1.0,0
368,2016,vandoorne,mclaren,20,1.0,0
369,2016,gutierrez,haas,21,0.0,0
370,2016,ericsson,sauber,22,0.0,0
371,2016,ocon,manor,23,0.0,0
372,2016,haryanto,manor,24,0.0,0
373,2017,hamilton,mercedes,1,363.0,9
374,2017,vettel,ferrari,2,317.0,5
375,2017,bottas,mercedes,3,305.0,3
376,2017,raikkonen,ferrari,4,205.0,0
377,2017,ricciardo,red_bull,5,200.0,1
378,2017,max_verstappen,red_bull,6,168.0,2
379,2017,perez,force_india,7,100.0,0
380,2017,ocon,force_india,8,87.0,0
381,2017,sainz,renault,9,54.0,0
382,2017,hulkenberg,renault,10,43.0,0
383,2017,massa,williams,11,43.0,0
384,2017,stroll,williams,12,40.0,0
385,2017,grosjean,haas,13,28.0,0
386,2017,kevin_magnussen,haas,14,19.0,0
387,2017,alonso,mclaren,15,17.0,0
388,2017,vandoorne,mclaren,16,13.0,0
389,2017,jolyon_palmer,renault,17,8.0,0
390,2017,wehrlein,sauber,18,5.0,0
391,2017,kvyat,toro_rosso,19,5.0,0
392,2017,ericsson,sauber,20,0.0,0
393,2017,gasly,toro_rosso,21,0.0,0
394,2017,giovinazzi,sauber,22,0.0,0
395,2017,brendon_hartley,toro_rosso,23,0.0,0
396,2017,button,mclaren,,0.0,0
397,2017,resta,williams,,0.0,0
398,2018,hamilton,mercedes,1,408.0,11
399,2018,vettel,ferrari,2,320.0,5
400,2018,raikkonen,ferrari,3,251.0,1
401,2018,max_verstappen,red_bull,4,249.0,2
402,2018,bottas,mercedes,5,247.0,0
403,2018,ricciardo,red_bull,6,170.0,2
404,2018,hulkenberg,renault,7,69.0,0
405,2018,perez,force_india,8,62.0,0
406,2018,kevin_magnussen,haas,9,56.0,0
407,2018,sainz,renault,10,53.0,0
408,2018,alonso,mclaren,11,50.0,0
409,2018,ocon,force_india,12,49.0,0
410,2018,leclerc,sauber,13,39.0,0
411,2018,grosjean,haas,14,37.0,0
412,2018,gasly,toro_rosso,15,29.0,0
413,2018,vandoorne,mclaren,16,12.0,0
414,2018,ericsson,sauber,17,9.0,0
415,2018,stroll,williams,18,6.0,0
416,2018,brendon_hartley,toro_rosso,19,4.0,0
417,2018,sirotkin,williams,20,1.0,0
418,2019,hamilton,mercedes,1,413.0,11
419,2019,bottas,mercedes,2,326.0,4
420,2019,max_verstappen,red_bull,3,278.0,3
421,2019,leclerc,ferrari,4,264.0,2
422,2019,vettel,ferrari,5,240.0,1
423,2019,sainz,mclaren,6,96.0,0
424,2019,gasly,toro_rosso,7,95.0,0
425,2019,albon,red_bull,8,92.0,0
426,2019,ricciardo,renault,9,54.0,0
427,2019,perez,racing_point,10,52.0,0
428,2019,norris,mclaren,11,49.0,0
429,2019,raikkonen,alfa,12,43.0,0
430,2019,kvyat,toro_rosso,13,37.0,0
431,2019,hulkenberg,renault,14,37.0,0
432,2019,stroll,racing_point,15,21.0,0
433,2019,kevin_magnussen,haas,16,20.0,0
434,2019,giovinazzi,alfa,17,14.0,0
435,2019,grosjean,haas,18,8.0,0
436,2019,kubica,williams,19,1.0,0
437,2019,russell,williams,20,0.0,0
438,2020,hamilton,mercedes,1,347.0,11
439,2020,bottas,mercedes,2,223.0,2
440,2020,max_verstappen,red_bull,3,214.0,2
441,2020,perez,racing_point,4,125.0,1
442,2020,ricciardo,renault,5,119.0,0
443,2020,sainz,mclaren,6,105.0,0
444,2020,albon,red_bull,7,105.0,0
445,2020,leclerc,ferrari,8,98.0,0
446,2020,norris,mclaren,9,97.0,0
447,2020,gasly,alphatauri,10,75.0,1
448,2020,stroll,racing_point,11,75.0,0
449,2020,ocon,renault,12,62.0,0
450,2020,vettel,ferrari,13,33.0,0
451,2020,kvyat,alphatauri,14,32.0,0
452,2020,hulkenberg,racing_point,15,10.0,0
453,2020,raikkonen,alfa,16,4.0,0
454,2020,giovinazzi,alfa,17,4.0,0
455,2020,russell,mercedes,18,3.0,0
456,2020,grosjean,haas,19,2.0,0
457,2020,kevin_magnussen,haas,20,1.0,0
458,2020,latifi,williams,21,0.0,0
459,2020,aitken,williams,22,0.0,0
460,2020,pietro_fittipaldi,haas,23,0.0,0
461,2021,max_verstappen,red_bull,1,395.5,10
462,2021,hamilton,mercedes,2,387.5,8
463,2021,bottas,mercedes,3,226.0,1
464,2021,perez,red_bull,4,190.0,1
465,2021,sainz,ferrari,5,164.5,0
466,2021,norris,mclaren,6,160.0,0
467,2021,leclerc,ferrari,7,159.0,0
468,2021,ricciardo,mclaren,8,115.0,1
469,2021,gasly,alphatauri,9,110.0,0
470,2021,alonso,alpine,10,81.0,0
471,2021,ocon,alpine,11,74.0,1
472,2021,vettel,aston_martin,12,43.0,0
473,2021,stroll,aston_martin,13,34.0,0
474,2021,tsunoda,alphatauri,14,32.0,0
475,2021,russell,williams,15,16.0,0
476,2021,raikkonen,alfa,16,10.0,0
477,2021,latifi,williams,17,7.0,0
478,2021,giovinazzi,alfa,18,3.0,0
479,2021,mick_schumacher,haas,19,0.0,0
480,2021,kubica,alfa,20,0.0,0
481,2021,mazepin,haas,21,0.0,0
482,2022,max_verstappen,red_bull,1,454.0,15
483,2022,leclerc,ferrari,2,308.0,3
484,2022,perez,red_bull,3,305.0,2
485,2022,russell,mercedes,4,275.0,1
486,2022,sainz,ferrari,5,246.0,1
487,2022,hamilton,mercedes,6,240.0,0
488,2022,norris,mclaren,7,122.0,0
489,2022,ocon,alpine,8,92.0,0
490,2022,alonso,alpine,9,81.0,0
491,2022,bottas,alfa,10,49.0,0
492,2022,ricciardo,mclaren,11,37.0,0
493,2022,vettel,aston_martin,12,37.0,0
494,2022,kevin_magnussen,haas,13,25.0,0
495,2022,gasly,alphatauri,14,23.0,0
496,2022,stroll,aston_martin,15,18.0,0
497,2022,mick_schumacher,haas,16,12.0,0
498,2022,tsunoda,alphatauri,17,12.0,0
499,2022,zhou,alfa,18,6.0,0
500,2022,albon,williams,19,4.0,0
501,2022,latifi,williams,20,2.0,0
502,2022,de_vries,williams,21,2.0,0
503,2022,hulkenberg,aston_martin,22,0.0,0
504,2023,max_verstappen,red_bull,1,575.0,19
505,2023,perez,red_bull,2,285.0,2
506,2023,hamilton,mercedes,3,234.0,0
507,2023,alonso,aston_martin,4,206.0,0
508,2023,leclerc,ferrari,5,206.0,0
509,2023,norris,mclaren,6,205.0,0
510,2023,sainz,ferrari,7,200.0,1
511,2023,russell,mercedes,8,175.0,0
512,2023,piastri,mclaren,9,97.0,0
513,2023,stroll,aston_martin,10,74.0,0
514,2023,gasly,alpine,11,62.0,0
515,2023,ocon,alpine,12,58.0,0
516,2023,albon,williams,13,27.0,0
517,2023,tsunoda,alphatauri,14,17.0,0
518,2023,bottas,alfa,15,10.0,0
519,2023,hulkenberg,haas,16,9.0,0
520,2023,ricciardo,alphatauri,17,6.0,0
521,2023,zhou,alfa,18,6.0,0
522,2023,kevin_magnussen,haas,19,3.0,0
523,2023,lawson,alphatauri,20,2.0,0
524,2023,sargeant,williams,21,1.0,0
525,2023,de_vries,alphatauri,22,0.0,0
526,2024,max_verstappen,red_bull,1,437.0,9
527,2024,norris,mclaren,2,374.0,4
528,2024,leclerc,ferrari,3,356.0,3
529,2024,piastri,mclaren,4,292.0,2
530,2024,sainz,ferrari,5,290.0,2
531,2024,russell,mercedes,6,245.0,2
532,2024,hamilton,mercedes,7,223.0,2
533,2024,perez,red_bull,8,152.0,0
534,2024,alonso,aston_martin,9,70.0,0
535,2024,gasly,alpine,10,42.0,0
536,2024,hulkenberg,haas,11,41.0,0
537,2024,tsunoda,rb,12,30.0,0
538,2024,stroll,aston_martin,13,24.0,0
539,2024,ocon,alpine,14,23.0,0
540,2024,kevin_magnussen,haas,15,16.0,0
541,2024,albon,williams,16,12.0,0
542,2024,ricciardo,rb,17,12.0,0
543,2024,bearman,haas,18,7.0,0
544,2024,colapinto,williams,19,5.0,0
545,2024,zhou,sauber,20,4.0,0
546,2024,lawson,rb,21,4.0,0
547,2024,bottas,sauber,22,0.0,0
548,2024,sargeant,williams,23,0.0,0
549,2024,doohan,alpine,24,0.0,0
550,2025,norris,mclaren,1,423.0,7
551,2025,max_verstappen,red_bull,2,421.0,8
552,2025,piastri,mclaren,3,410.0,7
553,2025,russell,mercedes,4,319.0,2
554,2025,leclerc,ferrari,5,242.0,0
555,2025,hamilton,ferrari,6,156.0,0
556,2025,antonelli,mercedes,7,150.0,0
557,2025,albon,williams,8,73.0,0
558,2025,sainz,williams,9,64.0,0
559,2025,alonso,aston_martin,10,56.0,0
560,2025,hulkenberg,sauber,11,51.0,0
561,2025,hadjar,rb,12,51.0,0
562,2025,bearman,haas,13,41.0,0
563,2025,lawson,rb,14,38.0,0
564,2025,ocon,haas,15,38.0,0
565,2025,stroll,aston_martin,16,33.0,0
566,2025,tsunoda,red_bull,17,33.0,0
567,2025,gasly,alpine,18,22.0,0
568,2025,bortoleto,sauber,19,19.0,0
569,2025,colapinto,alpine,20,0.0,0
570,2025,doohan,alpine,21,0.0,0
571,2026,antonelli,mercedes,1,242.0,6
572,2026,russell,mercedes,2,183.0,2
573,2026,hamilton,ferrari,3,183.0,1
574,2026,norris,mclaren,4,159.0,2
575,2026,leclerc,ferrari,5,155.0,1
576,2026,max_verstappen,red_bull,6,112.0,0
577,2026,piastri,mclaren,7,104.0,0
578,2026,hadjar,red_bull,8,68.0,0
579,2026,lawson,red_bull,9,49.0,0
580,2026,gasly,alpine,10,44.0,0
581,2026,arvid_lindblad,rb,11,23.0,0
582,2026,colapinto,alpine,12,19.0,0
583,2026,bearman,haas,13,18.0,0
584,2026,bortoleto,audi,14,10.0,0
585,2026,hulkenberg,audi,15,6.0,0
586,2026,sainz,williams,16,6.0,0
587,2026,albon,williams,17,5.0,0
588,2026,ocon,haas,18,3.0,0
589,2026,alonso,aston_martin,19,3.0,0
590,2026,tsunoda,rb,20,0.0,0
591,2026,stroll,aston_martin,21,0.0,0
592,2026,bottas,cadillac,22,0.0,0
593,2026,perez,cadillac,23,0.0,0
