driver_id,permanent_number,code,given_name,family_name,date_of_birth,nationality
sutil,99,SUT,Adrian,Sutil,1983-01-11,German
vettel,5,VET,Sebastian,Vettel,1987-07-03,German
markus_winkelhock,,WIN,Markus,Winkelhock,1980-06-13,German
bourdais,,BOU,Sébastien,Bourdais,1979-02-28,French
piquet_jr,,PIQ,Nelson,Piquet Jr.,1985-07-25,Brazilian
alguersuari,,ALG,Jaime,Alguersuari,1990-03-23,Spanish
badoer,,BAD,Luca,Badoer,1971-01-25,Italian
buemi,,BUE,Sébastien,Buemi,1988-10-31,Swiss
grosjean,8,GRO,Romain,Grosjean,1986-04-17,French
kobayashi,10,KOB,Kamui,Kobayashi,1986-09-13,Japanese
chandhok,,CHA,Karun,Chandhok,1984-01-19,Indian
petrov,,PET,Vitaly,Petrov,1984-09-08,Russian
bruno_senna,,SEN,Bruno,Senna,1983-10-15,Brazilian
grassi,,DIG,Lucas,di Grassi,1984-08-11,Brazilian
maldonado,13,MAL,Pastor,Maldonado,1985-03-09,Venezuelan
ambrosio,,DAM,Jérôme,d'Ambrosio,1985-12-27,Belgian
resta,40,DIR,Paul,di Resta,1986-04-16,British
pic,,PIC,Charles,Pic,1990-02-15,French
vergne,25,VER,Jean-Éric,Vergne,1990-04-25,French
jules_bianchi,17,BIA,Jules,Bianchi,1989-08-03,French
chilton,4,CHI,Max,Chilton,1991-04-21,British
gutierrez,21,GUT,Esteban,Gutiérrez,1991-08-05,Mexican
garde,,VDG,Giedo,van der Garde,1985-04-25,Dutch
ericsson,9,ERI,Marcus,Ericsson,1990-09-02,Swedish
kvyat,26,KVY,Daniil,Kvyat,1994-04-26,Russian
lotterer,45,LOT,André,Lotterer,1981-11-19,German
stevens,28,STE,Will,Stevens,1991-06-28,British
merhi,98,MER,Roberto,Merhi,1991-03-22,Spanish
nasr,12,NAS,Felipe,Nasr,1992-08-21,Brazilian
rossi,53,RSS,Alexander,Rossi,1991-09-25,American
haryanto,88,HAR,Rio,Haryanto,1993-01-22,Indonesian
jolyon_palmer,30,PAL,Jolyon,Palmer,1991-01-20,British
vandoorne,2,VAN,Stoffel,Vandoorne,1992-03-26,Belgian
wehrlein,94,WEH,Pascal,Wehrlein,1994-10-18,German
giovinazzi,99,GIO,Antonio,Giovinazzi,1993-12-14,Italian
brendon_hartley,28,HAR,Brendon,Hartley,1989-11-10,New Zealander
sirotkin,35,SIR,Sergey,Sirotkin,1995-08-27,Russian
aitken,89,AIT,Jack,Aitken,1995-09-23,British
pietro_fittipaldi,51,FIT,Pietro,Fittipaldi,1996-06-25,Brazilian
latifi,6,LAT,Nicholas,Latifi,1995-06-29,Canadian
mazepin,9,MAZ,Nikita,Mazepin,1999-03-02,Russian
mick_schumacher,47,MSC,Mick,Schumacher,1999-03-22,German
antonelli,12,ANT,Andrea Kimi,Antonelli,2006-08-25,Italian
bearman,87,BEA,Oliver,Bearman,2005-05-08,British
colapinto,43,COL,Franco,Colapinto,2003-05-27,Argentine
doohan,7,DOO,Jack,Doohan,2003-01-20,Australian
paul_aron,,,Paul,Aron,,
dino_beganovic,,,Dino,Beganovic,,
bortoleto,5,BOR,Gabriel,Bortoleto,2004-10-14,Brazilian
luke_browning,,,Luke,Browning,,
jak_crawford,,,Jak,Crawford,,
felipe_drugovich,,,Felipe,Drugovich,,
alexander_dunne,,,Alexander,Dunne,,
antonio_fuoco,,,Antonio,Fuoco,,
hadjar,6,HAD,Isack,Hadjar,2004-09-28,French
ryo_hirakawa,,,Ryo,Hirakawa,,
ayumu_iwasa,,,Ayumu,Iwasa,,
arthur_leclerc,,,Arthur,Leclerc,,
arvid_lindblad,41,LIN,Arvid,Lindblad,2007-08-08,British
victor_martins,,,Victor,Martins,,
patricio_o_ward,,,Patricio,O'Ward,,
leonardo_fornaroli,,,Leonardo,Fornaroli,,
colton_herta,,,Colton,Herta,,
